source,target,weight
Allerton/Pelham Gardens,Allerton/Pelham Gardens,32
Allerton/Pelham Gardens,Astoria,1
Allerton/Pelham Gardens,Bedford Park,17
Allerton/Pelham Gardens,Belmont,9
Allerton/Pelham Gardens,Bronxdale,19
Allerton/Pelham Gardens,Brownsville,1
Allerton/Pelham Gardens,Central Harlem North,2
Allerton/Pelham Gardens,Chinatown,1
Allerton/Pelham Gardens,City Island,1
Allerton/Pelham Gardens,Claremont/Bathgate,3
Allerton/Pelham Gardens,Co-Op City,34
Allerton/Pelham Gardens,Country Club,1
Allerton/Pelham Gardens,Crotona Park,1
Allerton/Pelham Gardens,Crotona Park East,3
Allerton/Pelham Gardens,East Concourse/Concourse Village,3
Allerton/Pelham Gardens,East Elmhurst,1
Allerton/Pelham Gardens,East Tremont,5
Allerton/Pelham Gardens,Eastchester,24
Allerton/Pelham Gardens,Fordham South,4
Allerton/Pelham Gardens,Forest Hills,1
Allerton/Pelham Gardens,Garment District,1
Allerton/Pelham Gardens,Greenpoint,1
Allerton/Pelham Gardens,Hamilton Heights,1
Allerton/Pelham Gardens,Highbridge,3
Allerton/Pelham Gardens,Hunts Point,4
Allerton/Pelham Gardens,Inwood,4
Allerton/Pelham Gardens,JFK Airport,4
Allerton/Pelham Gardens,Jamaica,1
Allerton/Pelham Gardens,Kingsbridge Heights,5
Allerton/Pelham Gardens,LaGuardia Airport,4
Allerton/Pelham Gardens,Lenox Hill West,2
Allerton/Pelham Gardens,Long Island City/Queens Plaza,1
Allerton/Pelham Gardens,Longwood,3
Allerton/Pelham Gardens,Manhattanville,2
Allerton/Pelham Gardens,Marble Hill,1
Allerton/Pelham Gardens,Melrose South,1
Allerton/Pelham Gardens,Middle Village,1
Allerton/Pelham Gardens,Midtown South,1
Allerton/Pelham Gardens,Morningside Heights,1
Allerton/Pelham Gardens,Mott Haven/Port Morris,5
Allerton/Pelham Gardens,Mount Hope,4
Allerton/Pelham Gardens,Murray Hill,1
Allerton/Pelham Gardens,Norwood,13
Allerton/Pelham Gardens,Outside of NYC,16
Allerton/Pelham Gardens,Parkchester,3
Allerton/Pelham Gardens,Pelham Bay,3
Allerton/Pelham Gardens,Pelham Bay Park,1
Allerton/Pelham Gardens,Pelham Parkway,12
Allerton/Pelham Gardens,Penn Station/Madison Sq West,1
Allerton/Pelham Gardens,Prospect-Lefferts Gardens,1
Allerton/Pelham Gardens,Ridgewood,1
Allerton/Pelham Gardens,Riverdale/North Riverdale/Fieldston,3
Allerton/Pelham Gardens,Schuylerville/Edgewater Park,3
Allerton/Pelham Gardens,Soundview/Bruckner,3
Allerton/Pelham Gardens,Soundview/Castle Hill,7
Allerton/Pelham Gardens,Spuyten Duyvil/Kingsbridge,2
Allerton/Pelham Gardens,Sunnyside,1
Allerton/Pelham Gardens,Times Sq/Theatre District,1
Allerton/Pelham Gardens,Two Bridges/Seward Park,1
Allerton/Pelham Gardens,University Heights/Morris Heights,5
Allerton/Pelham Gardens,Upper East Side North,2
Allerton/Pelham Gardens,Van Cortlandt Park,2
Allerton/Pelham Gardens,Van Cortlandt Village,6
Allerton/Pelham Gardens,Van Nest/Morris Park,16
Allerton/Pelham Gardens,Washington Heights North,3
Allerton/Pelham Gardens,Washington Heights South,2
Allerton/Pelham Gardens,West Chelsea/Hudson Yards,1
Allerton/Pelham Gardens,West Concourse,7
Allerton/Pelham Gardens,West Farms/Bronx River,4
Allerton/Pelham Gardens,Westchester Village/Unionport,6
Allerton/Pelham Gardens,Williamsbridge/Olinville,32
Allerton/Pelham Gardens,Woodlawn/Wakefield,10
Alphabet City,Alphabet City,9
Alphabet City,Astoria,1
Alphabet City,Bath Beach,1
Alphabet City,Battery Park City,7
Alphabet City,Bedford,7
Alphabet City,Bedford Park,1
Alphabet City,Bloomingdale,2
Alphabet City,Boerum Hill,1
Alphabet City,Brooklyn Heights,2
Alphabet City,Brooklyn Navy Yard,1
Alphabet City,Bushwick North,5
Alphabet City,Bushwick South,10
Alphabet City,Central Harlem,3
Alphabet City,Central Harlem North,4
Alphabet City,Central Park,2
Alphabet City,Chinatown,10
Alphabet City,Clinton East,8
Alphabet City,Clinton Hill,1
Alphabet City,Clinton West,3
Alphabet City,Crown Heights North,5
Alphabet City,Cypress Hills,1
Alphabet City,DUMBO/Vinegar Hill,8
Alphabet City,Downtown Brooklyn/MetroTech,7
Alphabet City,East Chelsea,15
Alphabet City,East Concourse/Concourse Village,2
Alphabet City,East Flatbush/Remsen Village,1
Alphabet City,East Harlem North,6
Alphabet City,East Harlem South,7
Alphabet City,East New York/Pennsylvania Avenue,1
Alphabet City,East Tremont,2
Alphabet City,East Village,40
Alphabet City,East Williamsburg,10
Alphabet City,Elmhurst,1
Alphabet City,Elmhurst/Maspeth,1
Alphabet City,Erasmus,1
Alphabet City,Far Rockaway,1
Alphabet City,Financial District North,18
Alphabet City,Financial District South,14
Alphabet City,Flatbush/Ditmas Park,2
Alphabet City,Flatiron,15
Alphabet City,Flatlands,1
Alphabet City,Fort Greene,4
Alphabet City,Garment District,5
Alphabet City,Gowanus,2
Alphabet City,Gramercy,29
Alphabet City,Greenpoint,8
Alphabet City,Greenwich Village North,25
Alphabet City,Greenwich Village South,21
Alphabet City,Hamilton Heights,1
Alphabet City,Hollis,1
Alphabet City,Hudson Sq,15
Alphabet City,JFK Airport,9
Alphabet City,Jackson Heights,2
Alphabet City,Kips Bay,19
Alphabet City,LaGuardia Airport,17
Alphabet City,Lenox Hill East,13
Alphabet City,Lenox Hill West,8
Alphabet City,Lincoln Square East,6
Alphabet City,Lincoln Square West,4
Alphabet City,Little Italy/NoLiTa,23
Alphabet City,Long Island City/Hunters Point,1
Alphabet City,Long Island City/Queens Plaza,1
Alphabet City,Lower East Side,43
Alphabet City,Madison,1
Alphabet City,Manhattan Valley,1
Alphabet City,Manhattanville,3
Alphabet City,Maspeth,1
Alphabet City,Meatpacking/West Village West,8
Alphabet City,Midtown Center,17
Alphabet City,Midtown East,22
Alphabet City,Midtown North,3
Alphabet City,Midtown South,16
Alphabet City,Morningside Heights,4
Alphabet City,Mott Haven/Port Morris,2
Alphabet City,Murray Hill,22
Alphabet City,Newark Airport,8
Alphabet City,Ocean Hill,1
Alphabet City,Old Astoria,1
Alphabet City,Outside of NYC,6
Alphabet City,Park Slope,7
Alphabet City,Penn Station/Madison Sq West,16
Alphabet City,Prospect Heights,4
Alphabet City,Prospect-Lefferts Gardens,4
Alphabet City,Queensbridge/Ravenswood,1
Alphabet City,Red Hook,1
Alphabet City,Rego Park,1
Alphabet City,Richmond Hill,1
Alphabet City,Ridgewood,2
Alphabet City,Saint George/New Brighton,1
Alphabet City,Seaport,5
Alphabet City,SoHo,20
Alphabet City,Steinway,1
Alphabet City,Stuy Town/Peter Cooper Village,8
Alphabet City,Stuyvesant Heights,6
Alphabet City,Sunnyside,2
Alphabet City,Sunset Park West,3
Alphabet City,Sutton Place/Turtle Bay North,7
Alphabet City,Times Sq/Theatre District,13
Alphabet City,TriBeCa/Civic Center,28
Alphabet City,Two Bridges/Seward Park,12
Alphabet City,UN/Turtle Bay South,10
Alphabet City,Union Sq,28
Alphabet City,University Heights/Morris Heights,1
Alphabet City,Upper East Side North,4
Alphabet City,Upper East Side South,3
Alphabet City,Upper West Side North,3
Alphabet City,Upper West Side South,5
Alphabet City,Van Nest/Morris Park,1
Alphabet City,Washington Heights North,1
Alphabet City,Washington Heights South,3
Alphabet City,West Chelsea/Hudson Yards,6
Alphabet City,West Concourse,3
Alphabet City,West Village,21
Alphabet City,Williamsburg (North Side),12
Alphabet City,Williamsburg (South Side),10
Alphabet City,World Trade Center,5
Alphabet City,Yorkville East,3
Alphabet City,Yorkville West,4
Arden Heights,Arden Heights,3
Arden Heights,Bloomfield/Emerson Hill,4
Arden Heights,Charleston/Tottenville,3
Arden Heights,Dyker Heights,1
Arden Heights,Eltingville/Annadale/Prince's Bay,3
Arden Heights,Great Kills,1
Arden Heights,Heartland Village/Todt Hill,7
Arden Heights,Mariners Harbor,1
Arden Heights,New Dorp/Midland Beach,3
Arden Heights,Newark Airport,3
Arden Heights,Oakwood,2
Arden Heights,Rossville/Woodrow,2
Arden Heights,UN/Turtle Bay South,1
Arden Heights,West Brighton,1
Arrochar/Fort Wadsworth,Arrochar/Fort Wadsworth,1
Arrochar/Fort Wadsworth,Bath Beach,2
Arrochar/Fort Wadsworth,Bay Ridge,9
Arrochar/Fort Wadsworth,Bensonhurst West,1
Arrochar/Fort Wadsworth,Bloomfield/Emerson Hill,5
Arrochar/Fort Wadsworth,Bushwick North,1
Arrochar/Fort Wadsworth,Carroll Gardens,1
Arrochar/Fort Wadsworth,Dyker Heights,2
Arrochar/Fort Wadsworth,East Village,1
Arrochar/Fort Wadsworth,Eltingville/Annadale/Prince's Bay,4
Arrochar/Fort Wadsworth,Gowanus,1
Arrochar/Fort Wadsworth,Great Kills,2
Arrochar/Fort Wadsworth,Greenpoint,1
Arrochar/Fort Wadsworth,Grymes Hill/Clifton,2
Arrochar/Fort Wadsworth,Heartland Village/Todt Hill,3
Arrochar/Fort Wadsworth,Midtown East,1
Arrochar/Fort Wadsworth,New Dorp/Midland Beach,5
Arrochar/Fort Wadsworth,Newark Airport,1
Arrochar/Fort Wadsworth,Outside of NYC,1
Arrochar/Fort Wadsworth,Port Richmond,2
Arrochar/Fort Wadsworth,Rossville/Woodrow,1
Arrochar/Fort Wadsworth,Saint George/New Brighton,3
Arrochar/Fort Wadsworth,SoHo,1
Arrochar/Fort Wadsworth,South Beach/Dongan Hills,6
Arrochar/Fort Wadsworth,Stapleton,4
Arrochar/Fort Wadsworth,West Brighton,2
Arrochar/Fort Wadsworth,Windsor Terrace,2
Arrochar/Fort Wadsworth,World Trade Center,1
Astoria,Alphabet City,4
Astoria,Astoria,235
Astoria,Astoria Park,2
Astoria,Auburndale,1
Astoria,Baisley Park,2
Astoria,Bath Beach,1
Astoria,Battery Park City,1
Astoria,Bay Terrace/Fort Totten,5
Astoria,Bayside,2
Astoria,Bedford,5
Astoria,Bedford Park,2
Astoria,Bellerose,1
Astoria,Belmont,4
Astoria,Bloomingdale,3
Astoria,Boerum Hill,4
Astoria,Borough Park,1
Astoria,Briarwood/Jamaica Hills,6
Astoria,Bronxdale,3
Astoria,Brooklyn Heights,1
Astoria,Brooklyn Navy Yard,3
Astoria,Brownsville,2
Astoria,Bushwick North,9
Astoria,Bushwick South,11
Astoria,Carroll Gardens,1
Astoria,Central Harlem,6
Astoria,Central Harlem North,9
Astoria,Central Park,2
Astoria,Chinatown,3
Astoria,Claremont/Bathgate,2
Astoria,Clinton East,10
Astoria,Clinton Hill,2
Astoria,Clinton West,3
Astoria,College Point,3
Astoria,Corona,18
Astoria,Crown Heights North,7
Astoria,DUMBO/Vinegar Hill,7
Astoria,Douglaston,1
Astoria,Downtown Brooklyn/MetroTech,1
Astoria,Dyker Heights,1
Astoria,East Chelsea,4
Astoria,East Concourse/Concourse Village,2
Astoria,East Elmhurst,12
Astoria,East Flatbush/Farragut,1
Astoria,East Flatbush/Remsen Village,1
Astoria,East Flushing,1
Astoria,East Harlem North,18
Astoria,East Harlem South,25
Astoria,East New York,3
Astoria,East Tremont,1
Astoria,East Village,5
Astoria,East Williamsburg,7
Astoria,Elmhurst,22
Astoria,Elmhurst/Maspeth,15
Astoria,Financial District North,4
Astoria,Financial District South,6
Astoria,Flatbush/Ditmas Park,2
Astoria,Flatiron,3
Astoria,Flushing,6
Astoria,Flushing Meadows-Corona Park,3
Astoria,Forest Hills,16
Astoria,Fort Greene,1
Astoria,Garment District,6
Astoria,Glen Oaks,2
Astoria,Glendale,4
Astoria,Gramercy,15
Astoria,Gravesend,2
Astoria,Greenpoint,23
Astoria,Greenwich Village North,2
Astoria,Greenwich Village South,3
Astoria,Hamilton Heights,7
Astoria,Hammels/Arverne,1
Astoria,Highbridge,3
Astoria,Hillcrest/Pomonok,5
Astoria,Hollis,1
Astoria,Hudson Sq,2
Astoria,Hunts Point,3
Astoria,Inwood,4
Astoria,JFK Airport,42
Astoria,Jackson Heights,61
Astoria,Jamaica,6
Astoria,Jamaica Estates,2
Astoria,Kew Gardens,2
Astoria,Kew Gardens Hills,1
Astoria,Kingsbridge Heights,1
Astoria,Kips Bay,7
Astoria,LaGuardia Airport,68
Astoria,Lenox Hill East,21
Astoria,Lenox Hill West,19
Astoria,Lincoln Square East,10
Astoria,Lincoln Square West,3
Astoria,Little Italy/NoLiTa,9
Astoria,Long Island City/Hunters Point,60
Astoria,Long Island City/Queens Plaza,70
Astoria,Lower East Side,6
Astoria,Manhattan Valley,1
Astoria,Manhattanville,4
Astoria,Marine Park/Mill Basin,1
Astoria,Maspeth,12
Astoria,Middle Village,6
Astoria,Midtown Center,15
Astoria,Midtown East,21
Astoria,Midtown North,8
Astoria,Midtown South,11
Astoria,Morningside Heights,8
Astoria,Morrisania/Melrose,3
Astoria,Mott Haven/Port Morris,12
Astoria,Mount Hope,1
Astoria,Murray Hill,13
Astoria,Murray Hill-Queens,9
Astoria,Newark Airport,1
Astoria,North Corona,5
Astoria,Norwood,2
Astoria,Oakland Gardens,1
Astoria,Ocean Hill,1
Astoria,Old Astoria,76
Astoria,Outside of NYC,22
Astoria,Park Slope,7
Astoria,Parkchester,3
Astoria,Pelham Parkway,3
Astoria,Penn Station/Madison Sq West,16
Astoria,Prospect Heights,3
Astoria,Prospect Park,1
Astoria,Prospect-Lefferts Gardens,3
Astoria,Queens Village,1
Astoria,Queensboro Hill,6
Astoria,Queensbridge/Ravenswood,43
Astoria,Randalls Island,1
Astoria,Rego Park,8
Astoria,Richmond Hill,3
Astoria,Ridgewood,5
Astoria,Riverdale/North Riverdale/Fieldston,1
Astoria,Roosevelt Island,5
Astoria,Saint Albans,2
Astoria,Saint Michaels Cemetery/Woodside,2
Astoria,Seaport,1
Astoria,SoHo,2
Astoria,Soundview/Castle Hill,3
Astoria,South Jamaica,1
Astoria,South Ozone Park,4
Astoria,Springfield Gardens North,1
Astoria,Spuyten Duyvil/Kingsbridge,2
Astoria,Steinway,163
Astoria,Stuy Town/Peter Cooper Village,6
Astoria,Stuyvesant Heights,4
Astoria,Sunnyside,100
Astoria,Sunset Park East,1
Astoria,Sutton Place/Turtle Bay North,8
Astoria,Times Sq/Theatre District,10
Astoria,TriBeCa/Civic Center,3
Astoria,Two Bridges/Seward Park,4
Astoria,UN/Turtle Bay South,5
Astoria,Union Sq,8
Astoria,University Heights/Morris Heights,2
Astoria,Upper East Side North,15
Astoria,Upper East Side South,12
Astoria,Upper West Side North,4
Astoria,Upper West Side South,6
Astoria,Van Cortlandt Village,2
Astoria,Van Nest/Morris Park,1
Astoria,Washington Heights North,3
Astoria,Washington Heights South,10
Astoria,West Chelsea/Hudson Yards,10
Astoria,West Concourse,4
Astoria,West Village,2
Astoria,Westchester Village/Unionport,1
Astoria,Whitestone,3
Astoria,Williamsburg (North Side),14
Astoria,Williamsburg (South Side),17
Astoria,Windsor Terrace,2
Astoria,Woodhaven,2
Astoria,Woodlawn/Wakefield,1
Astoria,Woodside,57
Astoria,World Trade Center,2
Astoria,Yorkville East,7
Astoria,Yorkville West,10
Astoria Park,East Chelsea,1
Astoria Park,Lenox Hill West,1
Astoria Park,Old Astoria,2
Astoria Park,Queensbridge/Ravenswood,1
Astoria Park,Steinway,1
Auburndale,Astoria,4
Auburndale,Auburndale,15
Auburndale,Battery Park City,1
Auburndale,Bay Terrace/Fort Totten,1
Auburndale,Bayside,23
Auburndale,Bedford Park,1
Auburndale,Belmont,1
Auburndale,Briarwood/Jamaica Hills,1
Auburndale,Co-Op City,1
Auburndale,College Point,1
Auburndale,Corona,1
Auburndale,Dyker Heights,1
Auburndale,East Chelsea,1
Auburndale,East Flushing,5
Auburndale,Elmhurst,3
Auburndale,Flatbush/Ditmas Park,1
Auburndale,Flushing,14
Auburndale,Forest Hills,3
Auburndale,Fresh Meadows,7
Auburndale,Garment District,1
Auburndale,Glendale,1
Auburndale,Hillcrest/Pomonok,4
Auburndale,Hunts Point,1
Auburndale,Jackson Heights,1
Auburndale,Jamaica,3
Auburndale,Jamaica Estates,6
Auburndale,Kew Gardens Hills,2
Auburndale,LaGuardia Airport,2
Auburndale,Lenox Hill East,1
Auburndale,Middle Village,1
Auburndale,Midtown Center,1
Auburndale,Murray Hill-Queens,13
Auburndale,Newark Airport,1
Auburndale,Oakland Gardens,4
Auburndale,Outside of NYC,7
Auburndale,Queens Village,1
Auburndale,Queensboro Hill,4
Auburndale,Queensbridge/Ravenswood,1
Auburndale,Richmond Hill,1
Auburndale,Steinway,1
Auburndale,University Heights/Morris Heights,1
Auburndale,Whitestone,1
Auburndale,Williamsburg (South Side),1
Baisley Park,Astoria,1
Baisley Park,Auburndale,1
Baisley Park,Baisley Park,28
Baisley Park,Bedford,2
Baisley Park,Bellerose,2
Baisley Park,Boerum Hill,1
Baisley Park,Briarwood/Jamaica Hills,4
Baisley Park,Brownsville,5
Baisley Park,Bushwick North,2
Baisley Park,Cambria Heights,4
Baisley Park,Canarsie,7
Baisley Park,Clinton West,1
Baisley Park,Coney Island,1
Baisley Park,Corona,2
Baisley Park,Crown Heights North,4
Baisley Park,Downtown Brooklyn/MetroTech,1
Baisley Park,East Flatbush/Farragut,1
Baisley Park,East Flatbush/Remsen Village,1
Baisley Park,East New York,14
Baisley Park,East New York/Pennsylvania Avenue,1
Baisley Park,Eastchester,1
Baisley Park,Elmhurst,5
Baisley Park,Elmhurst/Maspeth,1
Baisley Park,Erasmus,3
Baisley Park,Far Rockaway,1
Baisley Park,Flatbush/Ditmas Park,1
Baisley Park,Flatiron,1
Baisley Park,Flatlands,2
Baisley Park,Flushing,1
Baisley Park,Forest Hills,2
Baisley Park,Fresh Meadows,2
Baisley Park,Glen Oaks,2
Baisley Park,Glendale,3
Baisley Park,Gravesend,2
Baisley Park,Hammels/Arverne,4
Baisley Park,Hillcrest/Pomonok,4
Baisley Park,Hollis,5
Baisley Park,Howard Beach,7
Baisley Park,JFK Airport,65
Baisley Park,Jamaica,89
Baisley Park,Jamaica Estates,3
Baisley Park,Kew Gardens Hills,5
Baisley Park,Kips Bay,1
Baisley Park,LaGuardia Airport,5
Baisley Park,Laurelton,2
Baisley Park,Lenox Hill East,1
Baisley Park,Little Italy/NoLiTa,2
Baisley Park,Long Island City/Hunters Point,1
Baisley Park,Manhattanville,1
Baisley Park,Marine Park/Mill Basin,1
Baisley Park,Maspeth,1
Baisley Park,Middle Village,3
Baisley Park,Midtown Center,1
Baisley Park,Midtown East,2
Baisley Park,Midtown North,1
Baisley Park,Morningside Heights,1
Baisley Park,Newark Airport,1
Baisley Park,North Corona,1
Baisley Park,Oakland Gardens,2
Baisley Park,Ocean Hill,1
Baisley Park,Old Astoria,3
Baisley Park,Outside of NYC,21
Baisley Park,Ozone Park,8
Baisley Park,Park Slope,3
Baisley Park,Parkchester,1
Baisley Park,Prospect-Lefferts Gardens,3
Baisley Park,Queens Village,10
Baisley Park,Queensboro Hill,1
Baisley Park,Rego Park,2
Baisley Park,Richmond Hill,22
Baisley Park,Rosedale,4
Baisley Park,Saint Albans,26
Baisley Park,Soundview/Castle Hill,1
Baisley Park,South Jamaica,29
Baisley Park,South Ozone Park,42
Baisley Park,Springfield Gardens North,41
Baisley Park,Springfield Gardens South,11
Baisley Park,Steinway,2
Baisley Park,Sunnyside,3
Baisley Park,Times Sq/Theatre District,1
Baisley Park,TriBeCa/Civic Center,1
Baisley Park,Union Sq,1
Baisley Park,University Heights/Morris Heights,1
Baisley Park,Upper East Side South,1
Baisley Park,Williamsburg (North Side),1
Baisley Park,Woodhaven,4
Bath Beach,Bath Beach,14
Bath Beach,Bay Ridge,21
Bath Beach,Bensonhurst East,16
Bath Beach,Bensonhurst West,23
Bath Beach,Boerum Hill,1
Bath Beach,Borough Park,9
Bath Beach,Brighton Beach,4
Bath Beach,Brooklyn Heights,2
Bath Beach,Bushwick South,1
Bath Beach,Cambria Heights,1
Bath Beach,Canarsie,1
Bath Beach,Central Harlem,1
Bath Beach,Clinton Hill,1
Bath Beach,Coney Island,10
Bath Beach,Crown Heights South,1
Bath Beach,Dyker Heights,15
Bath Beach,Flatbush/Ditmas Park,5
Bath Beach,Flatlands,5
Bath Beach,Garment District,1
Bath Beach,Gowanus,1
Bath Beach,Gravesend,7
Bath Beach,Grymes Hill/Clifton,1
Bath Beach,Heartland Village/Todt Hill,1
Bath Beach,Homecrest,3
Bath Beach,JFK Airport,3
Bath Beach,Kensington,7
Bath Beach,Lenox Hill West,1
Bath Beach,Madison,2
Bath Beach,Manhattan Beach,3
Bath Beach,Marine Park/Mill Basin,1
Bath Beach,Midtown East,1
Bath Beach,Midwood,4
Bath Beach,Ocean Parkway South,1
Bath Beach,Outside of NYC,2
Bath Beach,Park Slope,3
Bath Beach,Penn Station/Madison Sq West,1
Bath Beach,Rego Park,1
Bath Beach,Sheepshead Bay,6
Bath Beach,Sunnyside,1
Bath Beach,Sunset Park East,11
Bath Beach,Sunset Park West,2
Bath Beach,West Brighton,1
Battery Park,Battery Park,1
Battery Park,Brooklyn Heights,1
Battery Park,Chinatown,1
Battery Park,Clinton East,1
Battery Park,Clinton Hill,1
Battery Park,Coney Island,1
Battery Park,DUMBO/Vinegar Hill,1
Battery Park,East Chelsea,1
Battery Park,East Village,2
Battery Park,Financial District North,1
Battery Park,Financial District South,1
Battery Park,Gramercy,1
Battery Park,Hudson Sq,1
Battery Park,LaGuardia Airport,1
Battery Park,Little Italy/NoLiTa,2
Battery Park,Lower East Side,1
Battery Park,Midtown Center,1
Battery Park,Midtown East,3
Battery Park,Midtown South,2
Battery Park,Newark Airport,1
Battery Park,Park Slope,2
Battery Park,Sunnyside,1
Battery Park,Times Sq/Theatre District,4
Battery Park,TriBeCa/Civic Center,2
Battery Park,Union Sq,1
Battery Park,West Chelsea/Hudson Yards,1
Battery Park,West Village,1
Battery Park,World Trade Center,1
Battery Park City,Alphabet City,8
Battery Park City,Bath Beach,1
Battery Park City,Battery Park,4
Battery Park City,Battery Park City,24
Battery Park City,Bay Ridge,2
Battery Park City,Bedford,1
Battery Park City,Bensonhurst East,1
Battery Park City,Bloomingdale,1
Battery Park City,Boerum Hill,4
Battery Park City,Borough Park,1
Battery Park City,Brighton Beach,1
Battery Park City,Brooklyn Heights,3
Battery Park City,Brownsville,1
Battery Park City,Bushwick North,1
Battery Park City,Bushwick South,1
Battery Park City,Carroll Gardens,2
Battery Park City,Central Harlem,2
Battery Park City,Central Harlem North,4
Battery Park City,Central Park,1
Battery Park City,Chinatown,5
Battery Park City,Clinton East,19
Battery Park City,Clinton Hill,6
Battery Park City,Clinton West,12
Battery Park City,Cobble Hill,1
Battery Park City,Columbia Street,1
Battery Park City,Crown Heights North,3
Battery Park City,Crown Heights South,2
Battery Park City,DUMBO/Vinegar Hill,8
Battery Park City,Downtown Brooklyn/MetroTech,4
Battery Park City,Dyker Heights,2
Battery Park City,East Chelsea,29
Battery Park City,East Elmhurst,1
Battery Park City,East Harlem North,1
Battery Park City,East Harlem South,4
Battery Park City,East Village,27
Battery Park City,East Williamsburg,7
Battery Park City,Elmhurst/Maspeth,2
Battery Park City,Erasmus,1
Battery Park City,Financial District North,28
Battery Park City,Financial District South,10
Battery Park City,Flatbush/Ditmas Park,2
Battery Park City,Flatiron,15
Battery Park City,Flatlands,1
Battery Park City,Flushing,2
Battery Park City,Forest Hills,2
Battery Park City,Fort Greene,7
Battery Park City,Garment District,15
Battery Park City,Gowanus,1
Battery Park City,Gramercy,7
Battery Park City,Greenpoint,5
Battery Park City,Greenwich Village North,18
Battery Park City,Greenwich Village South,18
Battery Park City,Hamilton Heights,2
Battery Park City,Homecrest,1
Battery Park City,Hudson Sq,8
Battery Park City,JFK Airport,31
Battery Park City,Jamaica Estates,1
Battery Park City,Kips Bay,8
Battery Park City,LaGuardia Airport,34
Battery Park City,Laurelton,1
Battery Park City,Lenox Hill East,8
Battery Park City,Lenox Hill West,8
Battery Park City,Lincoln Square East,6
Battery Park City,Lincoln Square West,6
Battery Park City,Little Italy/NoLiTa,29
Battery Park City,Long Island City/Hunters Point,5
Battery Park City,Long Island City/Queens Plaza,1
Battery Park City,Lower East Side,18
Battery Park City,Manhattan Valley,1
Battery Park City,Manhattanville,1
Battery Park City,Marine Park/Mill Basin,1
Battery Park City,Maspeth,3
Battery Park City,Meatpacking/West Village West,22
Battery Park City,Midtown Center,32
Battery Park City,Midtown East,16
Battery Park City,Midtown North,7
Battery Park City,Midtown South,23
Battery Park City,Midwood,1
Battery Park City,Morningside Heights,4
Battery Park City,Mott Haven/Port Morris,2
Battery Park City,Murray Hill,10
Battery Park City,Murray Hill-Queens,1
Battery Park City,Newark Airport,15
Battery Park City,Norwood,1
Battery Park City,Ocean Hill,1
Battery Park City,Ocean Parkway South,1
Battery Park City,Outside of NYC,53
Battery Park City,Park Slope,6
Battery Park City,Penn Station/Madison Sq West,11
Battery Park City,Prospect Heights,1
Battery Park City,Prospect-Lefferts Gardens,4
Battery Park City,Red Hook,4
Battery Park City,Rego Park,1
Battery Park City,Seaport,15
Battery Park City,SoHo,22
Battery Park City,Stuy Town/Peter Cooper Village,3
Battery Park City,Stuyvesant Heights,3
Battery Park City,Sunset Park East,1
Battery Park City,Sunset Park West,2
Battery Park City,Sutton Place/Turtle Bay North,5
Battery Park City,Times Sq/Theatre District,20
Battery Park City,TriBeCa/Civic Center,61
Battery Park City,Two Bridges/Seward Park,8
Battery Park City,UN/Turtle Bay South,9
Battery Park City,Union Sq,35
Battery Park City,Upper East Side North,7
Battery Park City,Upper East Side South,8
Battery Park City,Upper West Side North,4
Battery Park City,Upper West Side South,3
Battery Park City,Washington Heights North,2
Battery Park City,Washington Heights South,1
Battery Park City,West Chelsea/Hudson Yards,25
Battery Park City,West Farms/Bronx River,1
Battery Park City,West Village,34
Battery Park City,Williamsburg (North Side),5
Battery Park City,Williamsburg (South Side),5
Battery Park City,World Trade Center,8
Battery Park City,Yorkville East,2
Battery Park City,Yorkville West,4
Bay Ridge,Alphabet City,1
Bay Ridge,Arrochar/Fort Wadsworth,2
Bay Ridge,Astoria,1
Bay Ridge,Baisley Park,1
Bay Ridge,Bath Beach,22
Bay Ridge,Battery Park City,4
Bay Ridge,Bay Ridge,259
Bay Ridge,Bedford,4
Bay Ridge,Bensonhurst East,20
Bay Ridge,Bensonhurst West,54
Bay Ridge,Bloomfield/Emerson Hill,1
Bay Ridge,Boerum Hill,6
Bay Ridge,Borough Park,25
Bay Ridge,Brighton Beach,10
Bay Ridge,Brooklyn Heights,6
Bay Ridge,Brooklyn Navy Yard,2
Bay Ridge,Brownsville,2
Bay Ridge,Bushwick North,2
Bay Ridge,Bushwick South,1
Bay Ridge,Canarsie,4
Bay Ridge,Carroll Gardens,10
Bay Ridge,Central Harlem North,1
Bay Ridge,Chinatown,2
Bay Ridge,Clinton East,4
Bay Ridge,Clinton Hill,5
Bay Ridge,Clinton West,1
Bay Ridge,Cobble Hill,2
Bay Ridge,Columbia Street,1
Bay Ridge,Coney Island,10
Bay Ridge,Crown Heights North,4
Bay Ridge,Cypress Hills,1
Bay Ridge,DUMBO/Vinegar Hill,5
Bay Ridge,Downtown Brooklyn/MetroTech,8
Bay Ridge,Dyker Heights,72
Bay Ridge,East Chelsea,4
Bay Ridge,East Flatbush/Farragut,3
Bay Ridge,East New York/Pennsylvania Avenue,3
Bay Ridge,East Village,4
Bay Ridge,East Williamsburg,2
Bay Ridge,Eltingville/Annadale/Prince's Bay,2
Bay Ridge,Erasmus,1
Bay Ridge,Financial District North,3
Bay Ridge,Financial District South,4
Bay Ridge,Flatbush/Ditmas Park,15
Bay Ridge,Flatlands,7
Bay Ridge,Flushing,1
Bay Ridge,Fort Greene,8
Bay Ridge,Garment District,2
